SymmetricProperty
http://dbpedia.org/ontology/currentPartner
http://dbpedia.org/ontology/neighboringMunicipality
http://dbpedia.org/ontology/formerPartner
http://dbpedia.org/ontology/spouse
http://dbpedia.org/ontology/sisterStation
http://dbpedia.org/ontology/sisterCollege
http://dbpedia.org/ontology/sisterNewspaper
