TransitiveProperty
http://dbpedia.org/ontology/associate
http://dbpedia.org/ontology/isPartOfWineRegion
http://dbpedia.org/ontology/isPartOf
http://dbpedia.org/ontology/capitalCountry
http://dbpedia.org/ontology/relative
http://dbpedia.org/ontology/related
