DBpediaProp,DBpediaPropLabel,WikidataProp,WikidataPropLabel
http://dbpedia.org/ontology/almaMater,alma mater,http://www.wikidata.org/entity/P69,educated at
http://dbpedia.org/ontology/anthem,anthem,http://www.wikidata.org/entity/P85,anthem
http://dbpedia.org/ontology/architect,architect,http://www.wikidata.org/entity/P84,architect
http://dbpedia.org/ontology/architecturalStyle,architectural style,http://www.wikidata.org/entity/P149,architectural style
http://dbpedia.org/ontology/artist,performer,http://www.wikidata.org/entity/P175,performer
http://dbpedia.org/ontology/author,author,http://www.wikidata.org/entity/P50,author
http://dbpedia.org/ontology/award,award,http://www.wikidata.org/entity/P166,award received
http://dbpedia.org/ontology/basedOn,based on,http://www.wikidata.org/entity/P144,based on
http://dbpedia.org/ontology/battle,battle,http://www.wikidata.org/entity/P607,conflict
http://dbpedia.org/ontology/birthPlace,birth place,http://www.wikidata.org/entity/P19,place of birth
http://dbpedia.org/ontology/builder,builder,http://www.wikidata.org/entity/P176,manufacturer
http://dbpedia.org/ontology/capital,capital,http://www.wikidata.org/entity/P36,capital
http://dbpedia.org/ontology/ceo,chief executive officer,http://www.wikidata.org/entity/P169,chief executive officer
http://dbpedia.org/ontology/child,child,http://www.wikidata.org/entity/P40,child
http://dbpedia.org/ontology/cinematography,cinematography,http://www.wikidata.org/entity/P344,director of photography
http://dbpedia.org/ontology/citizenship,citizenship,http://www.wikidata.org/entity/P27,country of citizenship
http://dbpedia.org/ontology/city,city,http://www.wikidata.org/entity/P131,located in the administrative territorial entity
http://dbpedia.org/ontology/coatOfArms,coat of arms image,http://www.wikidata.org/entity/P94,coat of arms image
http://dbpedia.org/ontology/colour,colour,http://www.wikidata.org/entity/P462,color
http://dbpedia.org/ontology/composer,composer,http://www.wikidata.org/entity/P86,composer
http://dbpedia.org/ontology/computingPlatform,computing platform,http://www.wikidata.org/entity/P400,platform
http://dbpedia.org/ontology/constellation,constellation,http://www.wikidata.org/entity/P59,constellation
http://dbpedia.org/ontology/constructionMaterial,construction material,http://www.wikidata.org/entity/P186,material used
http://dbpedia.org/ontology/continent,continent,http://www.wikidata.org/entity/P30,continent
http://dbpedia.org/ontology/country,country,http://www.wikidata.org/entity/P17,country
http://dbpedia.org/ontology/county,county,http://www.wikidata.org/entity/P131,located in the administrative territorial entity
http://dbpedia.org/ontology/coverArtist,cover artist,http://www.wikidata.org/entity/P736,cover artist
http://dbpedia.org/ontology/cpu,CPU,http://www.wikidata.org/entity/P880,CPU
http://dbpedia.org/ontology/creator,creator (agent),http://www.wikidata.org/entity/P170,creator
http://dbpedia.org/ontology/crewMember,crew member,http://www.wikidata.org/entity/P1029,crew member
